"age","c_charge_degree","c_charge_desc","race","score_text","sex","priors_count","juv_fel_count","juv_misd_count","juv_other_count","decile_score","two_year_recid","length_of_stay","priors_1","priors_234","priors_5plus","juv_fel_1plus","juv_misd_1plus","juv_other_1plus","charge_any_drug","charge_any_violence_aggression","charge_any_theft","length_of_stay_thresh"
27,"M","Possession Of Methamphetamine","Caucasian","Low","Male",0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0
21,"F","Introduce Contraband Into Jail","Caucasian","Low","Female",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1
24,"F","Lewd/Lasc Battery Pers 12+/<16","Hispanic","Low","Male",1,0,0,0,4,1,1,1,0,0,0,0,0,0,1,0,1
43,"M","Susp Drivers Lic 1st Offense","Caucasian","Low","Male",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
32,"M","Battery","Other","Low","Male",0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,2
27,"F","Carrying Concealed Firearm","African-American","Low","Male",8,0,0,0,3,1,17,0,0,1,0,0,0,0,0,0,17
26,"F","Pos Cannabis W/Intent Sel/Del","African-American","Medium","Male",5,0,0,1,7,1,1,0,0,1,0,0,1,1,0,0,1
33,"F","Tampering With Physical Evidence","African-American","High","Male",0,0,0,0,10,1,38,0,0,0,0,0,0,0,0,0,30
30,"F","Felony Battery w/Prior Convict","Caucasian","High","Male",9,0,0,0,9,1,44,0,0,1,0,0,0,0,1,0,30
32,"F","Att Tamper w/Physical Evidence","African-American","High","Male",4,0,0,0,8,1,1,0,1,0,0,0,0,0,0,0,1
55,"F","arrest case no charge","Caucasian","Low","Male",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2
49,"F","Agg Fleeing and Eluding","Other","Low","Male",7,0,0,0,3,1,4,0,0,1,0,0,0,0,1,0,4
33,"M","Battery","Caucasian","Medium","Female",4,0,0,0,5,1,11,0,1,0,0,0,0,0,1,0,11
24,"M","Battery","Caucasian","Low","Male",1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1
34,"F","Poss Wep Conv Felon","African-American","High","Male",21,2,1,3,9,1,33,0,0,1,1,1,1,0,0,0,30
29,"M","Possess Cannabis/20 Grams Or Less","Caucasian","Low","Male",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
21,"F","arrest case no charge","African-American","High","Female",2,0,0,0,8,0,80,0,1,0,0,0,0,0,0,0,30
51,"M","Unlaw Use False Name/Identity","African-American","Low","Male",2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
29,"M","Viol Injunct Domestic Violence","Caucasian","Low","Male",2,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1
51,"F","Possession of Cocaine","African-American","Low","Female",7,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,2
29,"F","Defrauding Innkeeper $300/More","African-American","Medium","Male",0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
25,"M","Battery","Caucasian","High","Male",9,0,0,0,10,1,7,0,0,1,0,0,0,0,1,0,7
35,"F","Uttering a Forged Instrument","African-American","High","Male",13,1,0,4,8,1,1,0,0,1,1,0,1,0,0,0,1
49,"M","DUI Level 0.15 Or Minor In Veh","Caucasian","Low","Male",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,"F","Tampering With Physical Evidence","African-American","Low","Male",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
29,"F","Possession of Oxycodone","Caucasian","Low","Male",1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0
28,"F","Grand Theft in the 3rd Degree","Other","Low","Female",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1
31,"F","Attempt Armed Burglary Dwell","African-American","Medium","Male",15,0,0,1,5,0,136,0,0,1,0,0,1,0,0,1,30
24,"F","Poss Tetrahydrocannabinols","African-American","Low","Male",2,0,0,0,4,1,2,0,1,0,0,0,0,1,0,0,2
30,"M","Possess Cannabis/20 Grams Or Less","Hispanic","Medium","Male",0,0,0,0,7,0,23,0,0,0,0,0,0,1,0,0,23
49,"M","Battery","African-American","Low","Male",4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
53,"F","arrest case no charge","Caucasian","Medium","Male",8,0,0,0,5,0,13,0,0,1,0,0,0,0,0,0,13
35,"F","Driving While License Revoked","African-American","Low","Male",5,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1
27,"F","Driving While License Revoked","African-American","High","Male",15,1,1,2,10,1,1,0,0,1,1,1,1,0,0,0,1
38,"M","Battery","Caucasian","Low","Male",4,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,2
22,"F","Poss Firearm W/Altered ID#","African-American","Low","Male",1,0,0,1,4,1,1,1,0,0,0,0,1,0,0,0,1
29,"F","arrest case no charge","African-American","High","Male",4,0,0,0,9,1,19,0,1,0,0,0,0,0,0,0,19
62,"M","Unlaw LicTag/Sticker Attach","Hispanic","Low","Male",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,"F","Aggravated Battery / Pregnant","African-American","Medium","Male",6,0,1,0,6,1,30,0,0,1,0,1,0,0,1,0,30
33,"M","Battery","Other","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
56,"M","Battery","African-American","Low","Female",0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,3
45,"F","Possession of Cocaine","Hispanic","Low","Male",6,0,0,0,1,1,242,0,0,1,0,0,0,1,0,0,30
22,"F","Burglary Structure Unoccup","Hispanic","Low","Male",1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,1
39,"M","arrest case no charge","African-American","Low","Male",1,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,5
29,"F","False Name By Person Arrest","African-American","Medium","Male",5,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,1
27,"F","arrest case no charge","Caucasian","Medium","Male",1,0,0,1,6,1,14,1,0,0,0,0,1,0,0,0,14
40,"F","arrest case no charge","African-American","Low","Male",2,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,3
22,"M","Battery","African-American","Low","Male",1,0,0,0,3,1,17,1,0,0,0,0,0,0,1,0,17
22,"F","Grand Theft in the 3rd Degree","Caucasian","High","Male",0,0,0,0,8,0,58,0,0,0,0,0,0,0,0,1,30
26,"F","Poss Cocaine/Intent To Del/Sel","African-American","Low","Female",1,0,0,0,4,1,2,1,0,0,0,0,0,1,0,0,2
32,"F","Felony Battery (Dom Strang)","African-American","Low","Male",0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1
41,"M","arrest case no charge","African-American","Low","Male",1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,2
30,"M","Possess Cannabis/20 Grams Or Less","African-American","High","Male",8,0,0,0,10,1,1,0,0,1,0,0,0,1,0,0,1
50,"F","arrest case no charge","Other","Low","Male",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
25,"F","arrest case no charge","African-American","High","Male",14,1,6,1,10,1,7,0,0,1,1,1,1,0,0,0,7
20,"F","Tampering With Physical Evidence","Other","Medium","Male",0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,1
22,"F","Attempted Burg/struct/unocc","African-American","High","Male",2,1,0,0,9,1,30,0,1,0,1,0,0,0,0,0,30
35,"M","arrest case no charge","African-American","Low","Female",1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
36,"F","Deliver Cocaine","African-American","Medium","Male",9,0,0,0,7,1,4,0,0,1,0,0,0,1,0,0,4
26,"F","Possession Burglary Tools","Caucasian","High","Male",7,0,0,0,8,1,0,0,0,1,0,0,0,0,0,1,0
21,"F","Grand Theft in the 3rd Degree","Other","Medium","Male",1,0,0,0,6,1,4,1,0,0,0,0,0,0,0,1,4
25,"F","Pos Cannabis W/Intent Sel/Del","Caucasian","High","Male",9,0,0,0,8,1,1,0,0,1,0,0,0,1,0,0,1
20,"F","Poss3,4 Methylenedioxymethcath","Caucasian","Medium","Female",0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,1
39,"F","Possession Of Alprazolam","Caucasian","Low","Male",2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
54,"M","DUI Level 0.15 Or Minor In Veh","Caucasian","Low","Female",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,"M","Battery","Hispanic","Low","Female",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
19,"M","Battery","African-American","Low","Male",1,0,0,0,4,1,9,1,0,0,0,0,0,0,1,0,9
30,"F","Fail To Redeliv Hire/Leas Prop","African-American","Low","Male",1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
39,"F","Aggravated Assault W/Dead Weap","Caucasian","Low","Female",0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2
24,"F","False Ownership Info/Pawn Item","Caucasian","Medium","Male",8,0,1,2,6,1,12,0,0,1,0,1,1,0,0,0,12
30,"F","Possession Of Methamphetamine","Caucasian","Low","Male",0,0,0,0,4,0,6,0,0,0,0,0,0,1,0,0,6
31,"M","Battery","Caucasian","Medium","Male",0,0,0,0,5,0,39,0,0,0,0,0,0,0,1,0,30
39,"F","Possession of Morphine","Caucasian","Low","Female",1,0,0,0,4,0,107,1,0,0,0,0,0,1,0,0,30
43,"F","Possession of Cocaine","Caucasian","Low","Male",1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
21,"F","Grand Theft in the 3rd Degree","African-American","High","Male",3,0,0,0,9,1,6,0,1,0,0,0,0,0,0,1,6
38,"M","Possess Cannabis/20 Grams Or Less","Caucasian","Low","Male",5,0,0,0,4,1,3,0,0,1,0,0,0,1,0,0,3
34,"F","Aggravated Assault w/Firearm","Caucasian","Medium","Male",0,0,0,0,5,0,15,0,0,0,0,0,0,0,1,0,15
33,"F","Poss Contr Subst W/o Prescript","African-American","Medium","Male",5,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0
37,"F","Poss3,4 Methylenedioxymethcath","African-American","Low","Male",3,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1
42,"F","Aggrav Stalking After Injunctn","Caucasian","Low","Male",1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,1
41,"F","Possession of Cocaine","African-American","High","Male",10,0,1,0,9,1,176,0,0,1,0,1,0,1,0,0,30
22,"F","Uttering a Forged Instrument","African-American","Low","Male",0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1
33,"F","Driving While License Revoked","African-American","High","Male",28,0,12,2,8,1,2,0,0,1,0,1,1,0,0,0,2
31,"M","Battery","African-American","Medium","Male",1,0,0,0,7,0,1,1,0,0,0,0,0,0,1,0,1
30,"F","Crim Use of Personal ID Info","Other","Low","Female",1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
31,"F","arrest case no charge","Caucasian","High","Male",13,0,0,0,10,1,471,0,0,1,0,0,0,0,0,0,30
27,"F","Possession of Cocaine","African-American","High","Male",3,0,0,0,9,1,1,0,1,0,0,0,0,1,0,0,1
52,"M","Battery","Caucasian","High","Male",3,0,0,0,9,0,1,0,1,0,0,0,0,0,1,0,1
33,"F","arrest case no charge","African-American","High","Male",19,0,0,0,10,1,1,0,0,1,0,0,0,0,0,0,1
42,"F","Possession Of Alprazolam","Caucasian","Low","Male",6,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0
25,"F","arrest case no charge","Caucasian","Low","Female",2,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,3
30,"M","Agg Fleeing and Eluding","Caucasian","Low","Male",1,0,0,0,2,0,4,1,0,0,0,0,0,0,1,0,4
37,"M","Petit Theft","Other","Low","Female",2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,2
28,"M","Disorderly Intoxication","Caucasian","Low","Male",0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1
24,"M","Battery","African-American","Low","Female",0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,2
29,"F","Grand Theft in the 3rd Degree","Caucasian","Low","Female",10,0,1,0,4,1,7,0,0,1,0,1,0,0,0,1,7
44,"M","Battery","Caucasian","Low","Male",2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0
32,"F","Possession of Cocaine","African-American","Medium","Male",3,0,0,0,7,1,8,0,1,0,0,0,0,1,0,0,8
31,"M","Resist/Obstruct W/O Violence","Caucasian","Low","Male",2,0,0,0,3,1,15,0,1,0,0,0,0,0,1,0,15
31,"M","Lewdness Violation","African-American","Low","Male",1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,1
59,"F","Possession of Cocaine","Caucasian","Low","Male",1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,1
20,"F","arrest case no charge","African-American","High","Female",1,1,0,0,10,0,3,1,0,0,1,0,0,0,0,0,3
43,"M","DUI Level 0.15 Or Minor In Veh","Caucasian","Low","Female",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
38,"F","Possession of Cocaine","African-American","High","Male",9,1,1,0,8,1,13,0,0,1,1,1,0,1,0,0,13
32,"F","Poss Pyrrolidinovalerophenone","African-American","Medium","Male",11,0,0,0,6,1,1,0,0,1,0,0,0,1,0,0,1
33,"M","Assault","African-American","Medium","Male",8,0,0,0,5,1,1,0,0,1,0,0,0,0,1,0,1
31,"F","Possession of Oxycodone","African-American","Low","Female",0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,2
33,"F","Possession of Cocaine","African-American","High","Female",7,0,0,0,9,1,26,0,0,1,0,0,0,1,0,0,26
27,"F","Tampering With Physical Evidence","African-American","High","Male",2,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,1
20,"F","Grand Theft in the 3rd Degree","African-American","Medium","Female",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
26,"M","Fail To Obey Police Officer","Caucasian","Medium","Female",0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1
61,"F","Solicit Purchase Cocaine","African-American","Low","Female",1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
52,"F","Felony Petit Theft","Other","Medium","Male",13,0,0,0,7,1,2,0,0,1,0,0,0,0,0,1,2
63,"F","arrest case no charge","Hispanic","Low","Male",1,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,15
32,"F","arrest case no charge","African-American","High","Female",4,0,0,0,10,1,7,0,1,0,0,0,0,0,0,0,7
29,"F","Grand Theft in the 3rd Degree","Hispanic","Low","Male",1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,1
26,"M","Driving Under The Influence","African-American","Low","Female",2,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1
39,"M","","Caucasian","Low","Male",1,1,0,0,4,0,4,1,0,0,1,0,0,0,0,0,4
30,"F","Possession Of Carisoprodol","Caucasian","Medium","Female",3,0,0,0,7,1,530,0,1,0,0,0,0,1,0,0,30
30,"F","Burglary Conveyance Assault/Bat","African-American","Medium","Male",1,0,0,0,7,0,70,1,0,0,0,0,0,0,1,1,30
48,"M","Battery","Caucasian","Low","Male",2,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1
22,"F","arrest case no charge","African-American","Low","Male",1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
46,"F","Driving While License Revoked","Caucasian","Low","Male",6,0,0,0,1,1,23,0,0,1,0,0,0,0,0,0,23
31,"F","Deliver 3,4 Methylenediox","Caucasian","Medium","Male",0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,2
25,"M","Battery","African-American","Low","Male",1,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,2
23,"F","Poss3,4 Methylenedioxymethcath","Hispanic","Low","Male",0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
32,"F","Aggravated Assault W/dead Weap","African-American","Medium","Female",5,0,0,0,7,0,1,0,0,1,0,0,0,0,1,0,1
52,"M","Leave Acc/Attend Veh/More $50","Hispanic","Low","Male",2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,3
62,"F","Possession of Cocaine","African-American","Low","Male",8,0,0,0,4,0,16,0,0,1,0,0,0,1,0,0,16
31,"F","arrest case no charge","Hispanic","High","Male",8,0,0,0,9,1,117,0,0,1,0,0,0,0,0,0,30
28,"M","Resist/Obstruct W/O Violence","African-American","Medium","Male",6,0,0,0,6,1,1,0,0,1,0,0,0,0,1,0,1
54,"F","Burglary Unoccupied Dwelling","Hispanic","Low","Male",2,0,0,0,1,0,188,0,1,0,0,0,0,0,0,1,30
58,"F","Possession Of Heroin","Hispanic","Low","Male",0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1
78,"M","Driving Under The Influence","Caucasian","Low","Male",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
56,"F","Possession of Cocaine","Caucasian","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
24,"F","Burglary Unoccupied Dwelling","Other","Low","Male",0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,2
22,"F","Pos Cannabis W/Intent Sel/Del","African-American","Medium","Male",1,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0
47,"M","Possess Cannabis/20 Grams Or Less","African-American","High","Male",23,0,0,0,8,1,1,0,0,1,0,0,0,1,0,0,1
23,"M","Battery","African-American","Low","Male",0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1
57,"F","Driving While License Revoked","Hispanic","Low","Male",1,0,0,0,1,0,20,1,0,0,0,0,0,0,0,0,20
66,"F","Agg Battery Grt/Bod/Harm","African-American","Low","Male",3,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,2
45,"M","Viol Injunct Domestic Violence","Caucasian","Low","Male",8,0,0,0,4,1,71,0,0,1,0,0,0,0,1,0,30
37,"M","Battery","African-American","High","Male",2,0,0,0,9,1,0,0,1,0,0,0,0,0,1,0,0
39,"F","Possession Of Methamphetamine","Caucasian","Low","Male",0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,1
26,"F","Deliver Cocaine","African-American","High","Male",9,0,0,0,9,1,79,0,0,1,0,0,0,1,0,0,30
45,"F","Lewd or Lascivious Molestation","Caucasian","Low","Male",2,0,0,0,3,0,359,0,1,0,0,0,0,0,0,0,30
23,"F","Possession of Cannabis","African-American","Low","Male",0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1
34,"M","Battery","African-American","Low","Male",2,0,0,0,2,0,26,0,1,0,0,0,0,0,1,0,26
23,"M","Battery","African-American","Low","Female",1,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,1
36,"M","Battery","Other","Low","Male",2,0,0,0,3,1,3,0,1,0,0,0,0,0,1,0,3
50,"F","Sexual Performance by a Child","Caucasian","Low","Male",1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2
37,"M","Leaving Acc/Unattended Veh","Caucasian","Low","Female",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
44,"M","Battery","Caucasian","Low","Male",4,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,1
35,"F","Felony Petit Theft","African-American","High","Female",23,0,1,0,9,1,2,0,0,1,0,1,0,0,0,1,2
24,"F","arrest case no charge","Other","Medium","Male",5,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1
26,"F","Fleeing Or Attmp Eluding A Leo","African-American","High","Male",2,0,0,0,10,1,1,0,1,0,0,0,0,0,0,0,1
27,"M","Criminal Mischief","African-American","Low","Male",0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3
28,"F","Aggrav Battery w/Deadly Weapon","African-American","High","Female",0,0,0,0,8,0,29,0,0,0,0,0,0,0,1,0,29
28,"F","Felony Petit Theft","Caucasian","High","Female",7,0,0,0,9,1,1,0,0,1,0,0,0,0,0,1,1
38,"F","Driving While License Revoked","African-American","Low","Male",2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
28,"F","arrest case no charge","African-American","High","Female",1,0,0,0,9,0,39,1,0,0,0,0,0,0,0,0,30
56,"F","Felony Driving While Lic Suspd","Caucasian","Low","Male",7,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
38,"F","Possession of Cocaine","African-American","High","Male",15,0,0,0,9,0,2,0,0,1,0,0,0,1,0,0,2
28,"M","Possess Cannabis/20 Grams Or Less","African-American","Medium","Male",2,0,0,0,5,0,1,0,1,0,0,0,0,1,0,0,1
51,"M","Driving Under The Influence","Caucasian","Low","Female",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
51,"M","Battery","Caucasian","Low","Male",0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1
36,"M","Possess Cannabis/20 Grams Or Less","Other","Low","Male",1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
48,"F","Aggravated Battery (Firearm/Actual Possession)","African-American","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
37,"F","arrest case no charge","Caucasian","Low","Male",4,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,2
30,"F","Grand Theft in the 3rd Degree","African-American","Medium","Female",2,0,0,0,7,0,3,0,1,0,0,0,0,0,0,1,3
41,"M","Battery","African-American","Medium","Female",5,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0
27,"F","Robbery / No Weapon","African-American","High","Male",11,0,0,0,10,1,223,0,0,1,0,0,0,0,0,0,30
37,"M","Battery","African-American","Low","Male",0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2
33,"F","Aggravated Assault w/Firearm","Other","Low","Male",4,0,0,0,4,1,2,0,1,0,0,0,0,0,1,0,2
54,"F","Grand Theft (Motor Vehicle)","African-American","High","Male",11,0,0,0,9,0,130,0,0,1,0,0,0,0,0,1,30
23,"F","Robbery / Weapon","African-American","High","Male",2,0,0,0,9,0,72,0,1,0,0,0,0,0,0,0,30
41,"M","Battery","African-American","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
52,"F","Burglary With Assault/battery","Caucasian","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
43,"F","Driving While License Revoked","Caucasian","Low","Male",13,0,0,0,4,1,51,0,0,1,0,0,0,0,0,0,30
52,"F","Uttering a Forged Instrument","African-American","Low","Male",0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,14
28,"F","arrest case no charge","Caucasian","Low","Male",1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,3
30,"M","Battery","African-American","High","Male",11,0,0,2,9,1,1,0,0,1,0,0,1,0,1,0,1
28,"F","Criminal Mischief","Caucasian","Medium","Male",1,0,0,0,5,0,6,1,0,0,0,0,0,0,0,0,6
22,"F","Pos Cannabis W/Intent Sel/Del","African-American","Low","Male",0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1
30,"F","Driving While License Revoked","African-American","Low","Male",4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
25,"F","Possession of Cannabis","Hispanic","Low","Male",4,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,1
31,"F","Burglary Unoccupied Dwelling","Caucasian","High","Male",0,0,0,0,8,1,31,0,0,0,0,0,0,0,0,1,30
37,"F","Grand Theft in the 3rd Degree","Caucasian","Low","Male",0,0,0,0,2,1,35,0,0,0,0,0,0,0,0,1,30
32,"F","Aggravated Battery / Pregnant","African-American","High","Male",14,0,1,0,9,0,1,0,0,1,0,1,0,0,1,0,1
53,"M","Battery","Caucasian","Low","Male",1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
28,"F","arrest case no charge","African-American","High","Male",25,0,0,0,8,1,26,0,0,1,0,0,0,0,0,0,26
44,"M","Battery","Caucasian","Medium","Male",8,0,0,0,5,1,5,0,0,1,0,0,0,0,1,0,5
25,"F","Grand Theft in the 3rd Degree","African-American","Low","Male",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
22,"M","Voyeurism","Caucasian","High","Male",1,0,0,1,8,1,6,1,0,0,0,0,1,0,0,0,6
37,"M","Battery","Other","Low","Female",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
40,"F","Driving While License Revoked","Other","Low","Female",3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1
31,"M","Battery","Hispanic","Low","Female",0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1
23,"F","arrest case no charge","Hispanic","Medium","Male",1,0,0,1,6,1,1,1,0,0,0,0,1,0,0,0,1
23,"F","arrest case no charge","Caucasian","Medium","Female",5,0,0,4,5,1,1,0,0,1,0,0,1,0,0,0,1
24,"M","Possess Cannabis/20 Grams Or Less","Hispanic","High","Male",0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,1
29,"M","Battery","African-American","Low","Male",1,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,1
20,"F","Carrying Concealed Firearm","African-American","High","Male",1,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,1
30,"F","Carrying Concealed Firearm","African-American","Medium","Male",2,0,0,0,6,1,2,0,1,0,0,0,0,0,0,0,2
39,"F","Throw In Occupied Dwell","Other","Low","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
